Title,Pop
Oliver! (1968),3
Midnight Cowboy (1969),4
"French Connection, The (1971)",4
Rocky (1976),4
Kramer Vs. Kramer (1979),4
Ordinary People (1980),4
Chariots of Fire (1981),4
Terms of Endearment (1983),4
Out of Africa (1985),4
"Last Emperor, The (1987)",4
Rain Man (1988),4
Driving Miss Daisy (1989),4
Take the Money and Run (1969),3
Klute (1971),3
Repo Man (1984),4
Metropolitan (1990),3
Labyrinth (1986),4
"Breakfast Club, The (1985)",4
"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)",3
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",3
"Nightmare on Elm Street 4: The Dream Master, A (1988)",3
"Nightmare on Elm Street 5: The Dream Child, A (1989)",3
Freddy's Dead: The Final Nightmare (1991),3
Friday the 13th (1980),3
Friday the 13th Part 2 (1981),2
Friday the 13th Part 3: 3D (1982),3
Friday the 13th: The Final Chapter (1984),2
Friday the 13th Part V: A New Beginning (1985),2
Friday the 13th Part VI: Jason Lives (1986),2
Friday the 13th Part VII: The New Blood (1988),2
Friday the 13th Part VIII: Jason Takes Manhattan (1989),2
Halloween (1978),4
Halloween II (1981),3
Halloween III: Season of the Witch (1983),2
Halloween 4: The Return of Michael Myers (1988),2
Halloween 5: The Revenge of Michael Myers (1989),2
Prom Night (1980),2
Hello Mary Lou: Prom Night II (1987),1
Prom Night III: The Last Kiss (1989),0
Prom Night IV: Deliver Us From Evil (1992),0
Child's Play (1988),3
Child's Play 2 (1990),2
Child's Play 3 (1992),2
Poltergeist (1982),4
Poltergeist II: The Other Side (1986),3
Poltergeist III (1988),2
"Exorcist, The (1973)",4
Exorcist II: The Heretic (1977),2
"Exorcist III, The (1990)",2
Lethal Weapon (1987),4
Lethal Weapon 2 (1989),4
Lethal Weapon 3 (1992),4
Gremlins (1984),4
Gremlins 2: The New Batch (1990),3
"Goonies, The (1985)",4
"Mask of Zorro, The (1998)",4
Polish Wedding (1998),2
"This World, Then the Fireworks (1996)",0
Soylent Green (1973),4
Metropolis (1926),3
Back to the Future Part II (1989),4
Back to the Future Part III (1990),4
"Poseidon Adventure, The (1972)",4
Freaky Friday (1977),3
"Absent Minded Professor, The (1961)",3
"Apple Dumpling Gang Rides Again, The (1979)",2
Babes in Toyland (1961),2
Bambi (1942),4
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),4
Dangerous Liaisons (1988),4
Dune (1984),4
"Last Temptation of Christ, The (1988)",3
"Godfather: Part III, The (1990)",4
"Rapture, The (1991)",2
Lolita (1997),3
Disturbing Behavior (1998),2
Mafia! (1998),2
Saving Private Ryan (1998),4
Billy's Hollywood Screen Kiss (1997),2
East Palace West Palace (Dong gong xi gong) (1997),0
"$1,000,000 Duck (1971)",1
"Barefoot Executive, The (1971)",1
"Black Cauldron, The (1985)",3
"Black Hole, The (1979)",3
Blackbeard's Ghost (1968),1
Blank Check (1994),2
Candleshoe (1977),1
"Cat from Outer Space, The (1978)",3
Cheetah (1989),0
"Computer Wore Tennis Shoes, The (1970)",2
Condorman (1981),2
D2: The Mighty Ducks (1994),3
Darby O'Gill and the Little People (1959),2
"Devil and Max Devlin, The (1981)",1
"Far Off Place, A (1993)",1
Flight of the Navigator (1986),4
"Gnome-Mobile, The (1967)",1
"Great Mouse Detective, The (1986)",2
"Happiest Millionaire, The (1967)",1
Herbie Goes Bananas (1980),2
Herbie Goes to Monte Carlo (1977),2
Hocus Pocus (1993),3
"Honey, I Blew Up the Kid (1992)",3
"Honey, I Shrunk the Kids (1989)",4
Hot Lead and Cold Feet (1978),1
In Search of the Castaways (1962),1
"Incredible Journey, The (1963)",2
"Negotiator, The (1998)",4
"Parent Trap, The (1998)",3
BASEketball (1998),3
Full Tilt Boogie (1997),0
"Governess, The (1998)",2
Seventh Heaven (Le Septième ciel) (1997),0
Roger & Me (1989),4
"Purple Rose of Cairo, The (1985)",4
Out of the Past (1947),2
Doctor Zhivago (1965),4
Fanny and Alexander (1982),2
"Trip to Bountiful, The (1985)",2
Tender Mercies (1983),3
And the Band Played On (1993),2
"'burbs, The (1989)",3
Fandango (1985),2
"Night Porter, The (Il Portiere di notte) (1974)",1
Mephisto (1981),2
Blue Velvet (1986),4
"Journey of Natty Gann, The (1985)",2
"Jungle Book, The (1967)",4
Kidnapped (1960),0
Lady and the Tramp (1955),4
"Little Mermaid, The (1989)",4
"Mighty Ducks, The (1992)",3
"Muppet Christmas Carol, The (1992)",3
Newsies (1992),2
101 Dalmatians (1961),4
One Magic Christmas (1985),1
Peter Pan (1953),4
Popeye (1980),4
"Rescuers Down Under, The (1990)",3
"Rescuers, The (1977)",3
Return from Witch Mountain (1978),3
"Return of Jafar, The (1993)",2
Return to Oz (1985),3
"Rocketeer, The (1991)",4
"Shaggy D.A., The (1976)",2
Sleeping Beauty (1959),4
Something Wicked This Way Comes (1983),3
Son of Flubber (1963),2
Song of the South (1946),3
Splash (1984),4
Squanto: A Warrior's Tale (1994),0
Steamboat Willie (1940),3
Tall Tale (1994),1
Tex (1982),1
Tron (1982),4
Swing Kids (1993),3
Halloween: H20 (1998),3
L.A. Story (1991),4
"Jerk, The (1979)",4
Dead Men Don't Wear Plaid (1982),3
"Man with Two Brains, The (1983)",3
Grand Canyon (1991),3
Graveyard Shift (1990),2
"Outsiders, The (1983)",3
Indiana Jones and the Temple of Doom (1984),4
"Lord of the Rings, The (1978)",4
Nineteen Eighty-Four (1984),3
"Dead Zone, The (1983)",3
Maximum Overdrive (1986),2
Needful Things (1993),3
Cujo (1983),3
Children of the Corn (1984),3
All Dogs Go to Heaven (1989),3
"Addams Family, The (1991)",4
Ever After: A Cinderella Story (1998),4
Snake Eyes (1998),4
"First Love, Last Rites (1997)",0
Safe Men (1998),1
"Saltmen of Tibet, The (1997)",0
Atlantic City (1980),3
Autumn Sonata (Höstsonaten ) (1978),1
Who's Afraid of Virginia Woolf? (1966),3
Adventures in Babysitting (1987),4
Weird Science (1985),4
Doctor Dolittle (1967),3
"Nutty Professor, The (1963)",3
Charlotte's Web (1973),4
Watership Down (1978),3
"Secret of NIMH, The (1982)",3
"Dark Crystal, The (1982)",4
"American Tail, An (1986)",3
"American Tail: Fievel Goes West, An (1991)",3
Legend (1985),3
Sixteen Candles (1984),4
Pretty in Pink (1986),4
St. Elmo's Fire (1985),3
"Clan of the Cave Bear, The (1986)",3
House (1986),2
House II: The Second Story (1987),2
"Gods Must Be Crazy, The (1980)",4
"Gods Must Be Crazy II, The (1989)",2
Air Bud: Golden Receiver (1998),2
"Avengers, The (1998)",3
How Stella Got Her Groove Back (1998),2
"Slums of Beverly Hills, The (1998)",3
"Best Man, The (Il Testimone dello sposo) (1997)",0
"Chambermaid on the Titanic, The (1998)",1
"Henry: Portrait of a Serial Killer, Part 2 (1996)",1
Henry: Portrait of a Serial Killer (1990),3
Rosemary's Baby (1968),4
"NeverEnding Story, The (1984)",4
"NeverEnding Story II: The Next Chapter, The (1990)",3
Attack of the Killer Tomatoes! (1980),3
Surf Nazis Must Die (1987),1
Your Friends and Neighbors (1998),2
Return to Paradise (1998),2
Blade (1998),4
Dance with Me (1998),2
Dead Man on Campus (1998),2
Wrongfully Accused (1998),2
"Next Stop, Wonderland (1998)",3
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",0
"Navigator: A Mediaeval Odyssey, The (1988)",2
Beetlejuice (1988),4
Déjà Vu (1997),1
Rope (1948),3
Family Plot (1976),2
Frenzy (1972),2
Topaz (1969),1
Torn Curtain (1966),1
Marnie (1964),2
"Wrong Man, The (1956)",2
"Man Who Knew Too Much, The (1956)",3
"Trouble with Harry, The (1955)",2
I Confess (1953),1
Strangers on a Train (1951),4
Stage Fright (1950),1
54 (1998),3
I Married A Strange Person (1997),1
Why Do Fools Fall In Love? (1998),1
"Merry War, A (1997)",0
See the Sea (Regarde la mer) (1997),0
Willow (1988),4
"Untouchables, The (1987)",4
Dirty Work (1998),2
Knock Off (1998),1
Firelight (1997),0
Modulations (1998),0
Phoenix (1998),0
Under Capricorn (1949),0
"Paradine Case, The (1947)",1
Lifeboat (1944),3
Shadow of a Doubt (1943),3
Saboteur (1942),2
Mr. & Mrs. Smith (1941),1
Suspicion (1941),2
Jamaica Inn (1939),0
"Lady Vanishes, The (1938)",3
Young and Innocent (1937),0
Sabotage (1936),1
Secret Agent (1936),1
"Man Who Knew Too Much, The (1934)",2
Waltzes from Vienna (1933),0
Number Seventeen (1932),0
Rich and Strange (1932),0
"Skin Game, The (1931)",0
Elstree Calling (1930),0
Juno and Paycock (1930),0
Murder! (1930),0
"Manxman, The (1929)",0
Blackmail (1929),0
Champagne (1928),0
"Farmer's Wife, The (1928)",0
Downhill (1927),0
Easy Virtue (1927),0
"Ring, The (1927)",0
"Lodger, The (1926)",1
"Mountain Eagle, The (1926)",0
"Pleasure Garden, The (1925)",0
Always Tell Your Wife (1923),0
Rounders (1998),3
Cube (1997),3
Digging to China (1998),0
Let's Talk About Sex (1998),0
One Man's Hero (1999),0
Simon Birch (1998),3
Without Limits (1998),1
Seven Beauties (Pasqualino Settebellezze) (1976),2
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),2
My Bodyguard (1980),3
Class (1983),2
"Grandview, U.S.A. (1984)",0
Broadcast News (1987),4
"Allnighter, The (1987)",0
Working Girl (1988),4
Stars and Bars (1988),0
Married to the Mob (1988),3
Say Anything... (1989),4
My Blue Heaven (1990),3
Men Don't Leave (1990),1
"Cabinet of Dr. Ramirez, The (1991)",0
Hero (1992),3
Toys (1992),4
Choices (1981),0
Young Doctors in Love (1982),2
Parasite (1982),1
No Small Affair (1984),1
Master Ninja I (1984),0
Blame It on Rio (1984),3
Wisdom (1986),1
One Crazy Summer (1986),2
About Last Night... (1986),3
"Seventh Sign, The (1988)",3
We're No Angels (1989),2
Nothing But Trouble (1991),2
"Butcher's Wife, The (1991)",3
Mortal Thoughts (1991),2
"Few Good Men, A (1992)",4
Indecent Proposal (1993),3
"Century of Cinema, A (1994)",0
Permanent Midnight (1998),2
One True Thing (1998),2
Rush Hour (1998),4
Lilian's Story (1995),0
Six-String Samurai (1998),2
"Soldier's Daughter Never Cries, A (1998)",2
Somewhere in the City (1997),0
Ronin (1998),4
Urban Legend (1998),3
Clay Pigeons (1998),2
Monument Ave. (1998),0
Pecker (1998),3
"Sheltering Sky, The (1990)",1
Bandit Queen (1994),1
If.... (1968),1
"Fiendish Plot of Dr. Fu Manchu, The (1980)",1
Them! (1954),3
"Thing, The (1982)",4
"Player, The (1992)",4
Stardust Memories (1980),2
Edward Scissorhands (1990),4
Overnight Delivery (1996),1
Shadrach (1998),1
Antz (1998),4
"Impostors, The (1998)",2
"Night at the Roxbury, A (1998)",2
What Dreams May Come (1998),3
Strangeland (1998),0
"Battle of the Sexes, The (1959)",0
"Producers, The (1968)",4
History of the World: Part I (1981),3
My Cousin Vinny (1992),4
Nashville (1975),3
Love Is the Devil (1998),0
Slam (1998),1
Holy Man (1998),2
One Tough Cop (1998),1
Detroit 9000 (1973),0
"Inheritors, The (Die Siebtelbauern) (1998)",0
"Mighty, The (1998)",2
2010 (1984),4
Children of a Lesser God (1986),3
"Elephant Man, The (1980)",4
Beloved (1998),2
Bride of Chucky (1998),2
Practical Magic (1998),3
"Alarmist, The (1997)",0
Happiness (1998),3
Reach the Rock (1997),0
Apt Pupil (1998),3
Pleasantville (1998),4
Soldier (1998),3
"Cruise, The (1998)",1
Life Is Beautiful (La Vita è bella) (1997),4
Orgazmo (1997),2
Shattered Image (1998),0
Tales from the Darkside: The Movie (1990),2
Vampires (1998),2
American History X (1998),4
Hands on a Hard Body (1996),2
Living Out Loud (1998),3
Belly (1998),0
Gods and Monsters (1998),4
"Siege, The (1998)",3
"Waterboy, The (1998)",4
Elizabeth (1998),4
Velvet Goldmine (1998),2
I Still Know What You Did Last Summer (1998),3
I'll Be Home For Christmas (1998),1
Meet Joe Black (1998),3
Dancing at Lughnasa (1998),1
Hard Core Logo (1996),0
"Naked Man, The (1998)",0
Runaway Train (1985),3
Desert Bloom (1986),1
"Stepford Wives, The (1975)",3
"Pope of Greenwich Village, The (1984)",2
Sid and Nancy (1986),3
Mona Lisa (1986),2
Heart Condition (1990),1
Nights of Cabiria (Le Notti di Cabiria) (1957),2
"Big Chill, The (1983)",4
Enemy of the State (1998),4
"Rugrats Movie, The (1998)",2
"Bug's Life, A (1998)",4
Celebrity (1998),2
Central Station (Central do Brasil) (1998),3
Savior (1998),0
Waking Ned Devine (1998),4
"Celebration, The (Festen) (1998)",2
Pink Flamingos (1972),2
Glen or Glenda (1953),1
Godzilla (Gojira) (1954),3
Godzilla (Gojira) (1984),2
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),2
King Kong (1933),4
King Kong (1976),3
King Kong Lives (1986),1
Desperately Seeking Susan (1985),4
"Emerald Forest, The (1985)",2
Fletch (1985),4
Fletch Lives (1989),3
Red Sonja (1985),3
Gung Ho (1986),3
"Money Pit, The (1986)",4
"View to a Kill, A (1985)",3
Lifeforce (1985),3
Police Academy (1984),4
Police Academy 2: Their First Assignment (1985),3
Police Academy 3: Back in Training (1986),3
Police Academy 4: Citizens on Patrol (1987),2
Police Academy 5: Assignment: Miami Beach (1988),2
Police Academy 6: City Under Siege (1989),2
Babe: Pig in the City (1998),4
Home Fries (1998),2
Jerry Springer: Ringmaster (1998),1
Very Bad Things (1998),3
Steam: The Turkish Bath (Hamam) (1997),0
Psycho (1998),3
Little Voice (1998),3
"Simple Plan, A (1998)",4
Jack Frost (1998),3
Star Trek: Insurrection (1998),4
"Prince of Egypt, The (1998)",4
Rushmore (1998),4
Shakespeare in Love (1998),4
Mass Appeal (1984),1
Miracle on 34th Street (1947),3
Santa Claus: The Movie (1985),3
Prancer (1989),1
Pale Rider (1985),3
Rambo: First Blood Part II (1985),3
First Blood (1982),3
Rambo III (1988),3
"Jewel of the Nile, The (1985)",4
Romancing the Stone (1984),4
Cocoon (1985),4
Cocoon: The Return (1988),3
Rocky II (1979),4
Rocky III (1982),3
Rocky IV (1985),3
Rocky V (1990),3
Clue (1985),4
Young Sherlock Holmes (1985),3
Violets Are Blue... (1986),0
Back to School (1986),3
Heartburn (1986),2
Nothing in Common (1986),2
Extremities (1986),2
"Karate Kid, The (1984)",4
"Karate Kid, Part II, The (1986)",4
"Karate Kid III, The (1989)",3
Christmas Vacation (1989),4
You've Got Mail (1998),4
"General, The (1998)",1
"Theory of Flight, The (1998)",1
"Thin Red Line, The (1998)",4
"Faculty, The (1998)",4
Mighty Joe Young (1998),3
Mighty Joe Young (1949),2
Patch Adams (1998),4
Stepmom (1998),2
"Civil Action, A (1998)",4
Down in the Delta (1998),1
Hurlyburly (1998),2
Tea with Mussolini (1999),2
Wilde (1997),2
Outside Ozona (1998),0
Affliction (1997),3
Another Day in Paradise (1998),1
"Hi-Lo Country, The (1998)",1
Hilary and Jackie (1998),2
Playing by Heart (1998),2
24 7: Twenty Four Seven (1997),0
At First Sight (1999),2
In Dreams (1999),1
Varsity Blues (1999),3
Virus (1999),3
"Garbage Pail Kids Movie, The (1987)",1
Howard the Duck (1986),4
"Gate, The (1987)",2
"Gate II: Trespassers, The (1990)",1
"Boy Who Could Fly, The (1986)",3
"Fly, The (1958)",4
"Fly, The (1986)",4
"Fly II, The (1989)",3
Running Scared (1986),3
Armed and Dangerous (1986),2
"Texas Chainsaw Massacre, The (1974)",3
"Texas Chainsaw Massacre 2, The (1986)",2
Leatherface: Texas Chainsaw Massacre III (1990),1
"Return of the Texas Chainsaw Massacre, The (1994)",1
Ruthless People (1986),4
Trick or Treat (1986),0
Deadly Friend (1986),1
Belizaire the Cajun (1986),0
"Name of the Rose, The (1986)",3
Jumpin' Jack Flash (1986),3
Peggy Sue Got Married (1986),4
Crocodile Dundee (1986),4
Crocodile Dundee II (1988),4
Tough Guys (1986),2
Soul Man (1986),3
"Color of Money, The (1986)",3
52 Pick-Up (1986),2
Heartbreak Ridge (1986),3
Firewalker (1986),1
Three Amigos! (1986),4
Gloria (1999),1
Dry Cleaning (Nettoyage à sec) (1997),0
My Name Is Joe (1998),1
Still Crazy (1998),1
"Day of the Beast, The (El Día de la bestia) (1995)",1
Tinseltown (1998),0
She's All That (1999),3
24-hour Woman (1998),0
"Blood, Guts, Bullets and Octane (1998)",0
Peeping Tom (1960),2
Spanish Fly (1998),0
Payback (1999),4
Simply Irresistible (1999),2
20 Dates (1998),2
"Harmonists, The (1997)",1
"Last Days, The (1998)",1
"Fantastic Planet, The (La Planète sauvage) (1973)",2
Blast from the Past (1999),3
Message in a Bottle (1999),2
My Favorite Martian (1999),2
God Said 'Ha!' (1998),1
Jawbreaker (1999),2
October Sky (1999),4
Office Space (1999),4
"Apple, The (Sib) (1998)",0
200 Cigarettes (1999),3
8MM (1999),3
"Other Sister, The (1999)",2
Breakfast of Champions (1999),1
"Breaks, The (1999)",0
Eight Days a Week (1997),1
Just the Ticket (1999),0
"Long Goodbye, The (1973)",2
"Ballad of Narayama, The (Narayama Bushiko) (1982)",1
Pet Sematary (1989),3
Pet Sematary II (1992),2
Children of the Corn II: The Final Sacrifice (1993),1
Children of the Corn III (1994),1
Christine (1983),3
Night Shift (1982),3
House on Haunted Hill (1958),2
Airport (1970),3
Airport 1975 (1974),2
Airport '77 (1977),2
Rollercoaster (1977),1
"Towering Inferno, The (1974)",3
Alligator (1980),2
Meteor (1979),2
Westworld (1973),4
Logan's Run (1976),4
Planet of the Apes (1968),4
Beneath the Planet of the Apes (1970),3
Battle for the Planet of the Apes (1973),3
Conquest of the Planet of the Apes (1972),3
Escape from the Planet of the Apes (1971),4
Avalanche (1978),1
Earthquake (1974),2
"Concorde: Airport '79, The (1979)",1
Beyond the Poseidon Adventure (1979),1
Dancemaker (1998),0
Analyze This (1999),4
"Corruptor, The (1999)",2
Cruel Intentions (1999),4
"Lock, Stock & Two Smoking Barrels (1998)",4
Six Ways to Sunday (1997),0
"School of Flesh, The (L' École de la chair) (1998)",1
Relax... It's Just Sex (1998),0
"Deep End of the Ocean, The (1999)",2
Harvest (1998),0
"Rage: Carrie 2, The (1999)",2
Wing Commander (1999),3
"Haunting, The (1963)",3
Dead Ringers (1988),3
My Boyfriend's Back (1993),1
Village of the Damned (1960),3
Children of the Damned (1963),2
Baby Geniuses (1999),2
Telling You (1998),0
I Stand Alone (Seul contre tous) (1998),0
Forces of Nature (1999),3
"King and I, The (1999)",1
Ravenous (1999),2
True Crime (1999),2
Bandits (1997),0
Beauty (1998),0
"Empty Mirror, The (1999)",0
"King and I, The (1956)",3
Doug's 1st Movie (1999),1
EDtv (1999),3
"Mod Squad, The (1999)",3
Among Giants (1998),0
"Walk on the Moon, A (1999)",2
"Matrix, The (1999)",4
10 Things I Hate About You (1999),4
Tango (1998),1
"Out-of-Towners, The (1999)",3
"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",2
"Love, etc. (1996)",0
Metroland (1997),1
"Sticky Fingers of Time, The (1997)",0
Following (1998),1
Go (1999),4
Never Been Kissed (1999),4
Twin Dragons (Shuang long hui) (1992),2
Cookie's Fortune (1999),3
Foolish (1999),0
"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)",1
"Goodbye, Lover (1999)",1
Life (1999),2
Clubland (1998),0
Friends & Lovers (1999),1
Hideous Kinky (1998),1
Jeanne and the Perfect Guy (Jeanne et le garçon formidable) (1998),0
"Joyriders, The (1999)",0
"Monster, The (Il Mostro) (1994)",1
Open Your Eyes (Abre los ojos) (1997),1
Photographer (Fotoamator) (1998),0
SLC Punk! (1998),2
Lost & Found (1999),1
Pushing Tin (1999),4
Election (1999),4
eXistenZ (1999),3
"Little Bit of Soul, A (1998)",0
Mighty Peking Man (Hsing hsing wang) (1977),0
Nô (1998),0
Let it Come Down: The Life of Paul Bowles (1998),0
Entrapment (1999),4
Idle Hands (1999),3
Get Real (1998),2
Heaven (1998),0
"King of Masks, The (Bian Lian) (1996)",2
Three Seasons (1999),1
"Winslow Boy, The (1998)",2
Mildred Pierce (1945),2
Night of the Comet (1984),3
Chopping Mall (a.k.a. Killbots) (1986),1
My Science Project (1985),3
Dick Tracy (1990),4
"Mummy, The (1999)",4
"Castle, The (1997)",1
Mascara (1999),0
This Is My Father (1998),1
Xiu Xiu: The Sent-Down Girl (Tian yu) (1998),2
"Midsummer Night's Dream, A (1999)",4
Trippin' (1999),0
After Life (1998),2
Black Mask (Hak hap) (1996),2
Edge of Seventeen (1998),1
Endurance (1998),0
Star Wars: Episode I - The Phantom Menace (1999),4
"Love Letter, The (1999)",2
Besieged (L' Assedio) (1998),1
Frogs for Snakes (1998),0
"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",0
"Mummy, The (1932)",2
"Mummy, The (1959)",2
"Mummy's Curse, The (1944)",1
"Mummy's Ghost, The (1944)",0
"Mummy's Hand, The (1940)",1
"Mummy's Tomb, The (1942)",1
Mommie Dearest (1981),2
Superman (1978),4
Superman II (1980),4
Superman III (1983),4
Superman IV: The Quest for Peace (1987),3
Dracula (1931),3
Dracula (1958),2
House of Dracula (1945),1
House of Frankenstein (1944),1
Frankenstein (1931),3
Son of Frankenstein (1939),2
"Ghost of Frankenstein, The (1942)",1
Frankenstein Meets the Wolf Man (1943),2
"Curse of Frankenstein, The (1957)",1
Son of Dracula (1943),1
"Wolf Man, The (1941)",2
Howling II: Your Sister Is a Werewolf (1985),1
Tarantula (1955),1
"Rocky Horror Picture Show, The (1975)",4
"Flying Saucer, The (1950)",0
It Came from Hollywood (1982),1
"Thing From Another World, The (1951)",2
It Came from Outer Space (1953),2
"War of the Worlds, The (1953)",4
It Came from Beneath the Sea (1955),1
Invasion of the Body Snatchers (1956),4
Earth Vs. the Flying Saucers (1956),2
It Conquered the World (1956),1
"Mole People, The (1956)",1
Swamp Thing (1982),3
Pork Chop Hill (1959),2
"Run Silent, Run Deep (1958)",3
Notting Hill (1999),4
"Thirteenth Floor, The (1999)",3
Eternity and a Day (Mia eoniotita ke mia mera ) (1998),0
"Loss of Sexual Innocence, The (1999)",1
Twice Upon a Yesterday (1998),0
Instinct (1999),3
Buena Vista Social Club (1999),3
Desert Blue (1999),1
Finding North (1999),0
Floating (1997),0
Free Enterprise (1998),1
Limbo (1999),2
Austin Powers: The Spy Who Shagged Me (1999),4
Taxman (1999),0
"Red Dwarf, The (Le Nain rouge) (1998)",0
"Red Violin, The (Le Violon rouge) (1998)",4
Tarzan (1999),4
"General's Daughter, The (1999)",4
Get Bruce (1999),1
"Ideal Husband, An (1999)",3
"Legend of 1900, The (Leggenda del pianista sull'oceano) (1998)",1
Run Lola Run (Lola rennt) (1998),4
Trekkies (1997),3
Big Daddy (1999),4
"Boys, The (1997)",0
"Dinner Game, The (Le Dîner de cons) (1998)",2
My Son the Fanatic (1998),1
Zone 39 (1997),0
Arachnophobia (1990),4
"South Park: Bigger, Longer and Uncut (1999)",4
Wild Wild West (1999),4
Summer of Sam (1999),3
Broken Vessels (1998),0
"Lovers on the Bridge, The (Les Amants du Pont-Neuf) (1991)",1
"Late August, Early September (Fin août, début septembre) (1998)",0
American Pie (1999),4
Arlington Road (1999),4
"Autumn Tale, An (Conte d'automne) (1998)",1
Muppets From Space (1999),3
"Blair Witch Project, The (1999)",4
My Life So Far (1999),1
Eyes Wide Shut (1999),4
Lake Placid (1999),4
"Wood, The (1999)",2
"Velocity of Gary, The (1998)",1
Ghostbusters (1984),4
Ghostbusters II (1989),4
Drop Dead Gorgeous (1999),3
"Haunting, The (1999)",4
Inspector Gadget (1999),3
Trick (1999),2
Deep Blue Sea (1999),4
Mystery Men (1999),4
Runaway Bride (1999),4
Twin Falls Idaho (1999),2
"Killing, The (1956)",2
Killer's Kiss (1955),1
Spartacus (1960),4
Lolita (1962),3
Barry Lyndon (1975),2
"400 Blows, The (Les Quatre cents coups) (1959)",3
Jules and Jim (Jules et Jim) (1961),2
Vibes (1988),1
"Mosquito Coast, The (1986)",4
"Golden Child, The (1986)",4
Brighton Beach Memoirs (1986),3
Assassination (1987),1
Crimes of the Heart (1986),2
"Color Purple, The (1985)",4
"Kindred, The (1986)",1
No Mercy (1986),1
Ménage (Tenue de soirée) (1986),0
Native Son (1986),1
Otello (1986),1
"Mission, The (1986)",3
Little Shop of Horrors (1986),4
"Little Shop of Horrors, The (1960)",3
Allan Quartermain and the Lost City of Gold (1987),2
"Morning After, The (1986)",2
Radio Days (1987),3
From the Hip (1987),1
Outrageous Fortune (1987),3
"Bedroom Window, The (1987)",1
Deadtime Stories (1987),0
Light of Day (1987),1
Wanted: Dead or Alive (1987),1
Frances (1982),2
Plenty (1985),1
Dick (1999),4
"Gambler, The (A Játékos) (1997)",0
"Iron Giant, The (1999)",4
"Sixth Sense, The (1999)",4
"Thomas Crown Affair, The (1999)",4
"Thomas Crown Affair, The (1968)",3
"Acid House, The (1998)",0
"Adventures of Sebastian Cole, The (1998)",1
Illuminata (1998),1
Stiff Upper Lips (1998),0
"Yards, The (1999)",2
Bowfinger (1999),4
Brokedown Palace (1999),2
Detroit Rock City (1999),3
Alice and Martin (Alice et Martin) (1998),0
Better Than Chocolate (1999),2
Head On (1998),0
"Marcello Mastroianni: I Remember Yes, I Remember (1997)",0
Cobra (1925),0
Never Talk to Strangers (1995),1
Heaven Can Wait (1978),3
"Raven, The (1963)",2
"Tingler, The (1959)",1
Pit and the Pendulum (1961),2
"Tomb of Ligeia, The (1965)",0
"Masque of the Red Death, The (1964)",1
Tales of Terror (1962),1
Haunted Honeymoon (1986),2
Cat's Eye (1985),2
And Now for Something Completely Different (1971),4
Damien: Omen II (1978),2
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",1
Airplane! (1980),4
Airplane II: The Sequel (1982),4
"American Werewolf in Paris, An (1997)",3
European Vacation (1985),3
Vacation (1983),4
Funny Farm (1988),3
Big (1988),4
Problem Child (1990),2
Problem Child 2 (1991),2
Little Nemo: Adventures in Slumberland (1992),1
Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),2
Tequila Sunrise (1988),3
"Pelican Brief, The (1993)",3
"Christmas Story, A (1983)",4
Mickey Blue Eyes (1999),4
Teaching Mrs. Tingle (1999),3
Universal Soldier: The Return (1999),2
Universal Soldier (1992),3
Love Stinks (1999),1
Perfect Blue (1997),1
With Friends Like These... (1998),0
In Too Deep (1999),1
"Source, The (1999)",1
"Bat, The (1959)",0
Iron Eagle (1986),3
Iron Eagle II (1988),2
Aces: Iron Eagle III (1992),2
Iron Eagle IV (1995),1
Three Days of the Condor (1975),3
Hamlet (1964),1
Male and Female (1919),0
Medicine Man (1992),3
"Spiders, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)",0
On the Ropes (1999),0
Rosie (1998),0
"13th Warrior, The (1999)",4
"Astronaut's Wife, The (1999)",3
Dudley Do-Right (1999),2
"Muse, The (1999)",2
Cabaret Balkan (Bure Baruta) (1998),0
"Dog of Flanders, A (1999)",0
"Lost Son, The (1999)",0
Lucie Aubrac (1997),0
"Very Thought of You, The (1998)",1
Chill Factor (1999),1
Outside Providence (1999),2
Bedrooms & Hallways (1998),1
I Woke Up Early the Day I Died (1998),0
West Beirut (West Beyrouth) (1998),0
Stigmata (1999),4
Stir of Echoes (1999),4
Best Laid Plans (1999),1
"Black Cat, White Cat (Crna macka, beli macor) (1998)",1
"Minus Man, The (1999)",2
White Boys (1999),0
"Adventures of Milo and Otis, The (1986)",2
Only Angels Have Wings (1939),1
Othello (1952),1
Queens Logic (1991),1
Public Access (1993),0
Saturn 3 (1979),2
"Soldier's Story, A (1984)",2
"Communion (a.k.a. Alice, Sweet Alice/Holy Terror) (1977)",1
Don't Look in the Basement! (1973),0
Nightmares (1983),0
I Saw What You Did (1965),2
Yellow Submarine (1968),3
